In,Age,Nat.,Position,Pos,Market value,Left,Left Club Country,Fee,Club name,Year of transfer
André Gomes,22,Portugal,Central Midfield,CM,€14.00m,Valencia CF,Spain,€37.00m,FC Barcelona,2016
Paco Alcácer,23,Spain,Centre-Forward,CF,€8.00m,Valencia CF,Spain,€30.00m,FC Barcelona,2016
Samuel Umtiti,22,France,Centre-Back,CB,€4.00m,Olympique Lyon,France,€25.00m,FC Barcelona,2016
Lucas Digne,22,France,Left-Back,LB,€17.00m,Paris Saint-Germain,France,€16.50m,FC Barcelona,2016
Jasper Cillessen,27,Netherlands,Goalkeeper,GK,€3.00m,Ajax Amsterdam,Netherlands,€13.00m,FC Barcelona,2016
Denis Suárez,22,Spain,Attacking Midfield,AM,€5.00m,Villarreal CF,Spain,€3.25m,FC Barcelona,2016
Sergi Samper,21,Spain,Defensive Midfield,DM,€700k,FC Barcelona B,Spain,-,FC Barcelona,2016
Álvaro Morata,23,Spain,Centre-Forward,CF,€25.00m,Juventus FC,Italy,€30.00m,Real Madrid,2016
Mariano Díaz,22,Dominican Republic,Centre-Forward,CF,€2.50m,Real Madrid Castilla,Spain,-,Real Madrid,2016
Borja Mayoral,19,Spain,Centre-Forward,CF,€9.00m,Real Madrid Castilla,Spain,-,Real Madrid,2016
Marcos Llorente,21,Spain,Central Midfield,CM,€35.00m,Real Madrid Castilla,Spain,-,Real Madrid,2016
Martin Ødegaard,18,Norway,Attacking Midfield,AM,€80.00m,Real Madrid Castilla,Spain,-,Real Madrid,2016
Kévin Gameiro,29,France,Centre-Forward,CF,€1.50m,Sevilla FC,Spain,€32.00m,Atlético de Madrid,2016
Nico Gaitán,28,Argentina,Attacking Midfield,AM,€300k,SL Benfica,Portugal,€25.00m,Atlético de Madrid,2016
Sime Vrsaljko,24,Croatia,Right-Back,RB,-,US Sassuolo,Italy,€14.00m,Atlético de Madrid,2016
Diogo Jota,19,Portugal,Left Winger,LW,€55.00m,FC Paços de Ferreira,Portugal,€7.00m,Atlético de Madrid,2016
Axel Werner,20,Argentina,Goalkeeper,GK,€800k,Atlético de Rafaela,Argentina,€800k,Atlético de Madrid,2016
Fernando Torres,32,Spain,Centre-Forward,CF,-,AC Milan,Italy,free transfer,Atlético de Madrid,2016
Theo Hernández,18,France,Left-Back,LB,€60.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2016
Amath Ndiaye,19,Senegal,Left Winger,LW,€2.00m,Atlético de Madrid B,Spain,-,Atlético de Madrid,2016
Iñigo Lekue,23,Spain,Right-Back,RB,€3.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Enric Saborit,24,Spain,Left-Back,LB,€800k,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Unai López,20,Spain,Central Midfield,CM,€4.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Ager Aketxe,22,Spain,Attacking Midfield,AM,€800k,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Mikel Vesga,23,Spain,Defensive Midfield,DM,€5.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Yeray Álvarez,21,Spain,Centre-Back,CB,€15.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Álex Remiro,21,Spain,Goalkeeper,GK,€25.00m,Bilbao Athletic,Spain,-,Athletic Bilbao,2016
Roberto Soriano,25,Italy,Attacking Midfield,AM,€3.50m,UC Sampdoria,Italy,€13.75m,Villarreal CF,2016
Nicola Sansone,24,Italy,Left Winger,LW,€1.50m,US Sassuolo,Italy,€13.00m,Villarreal CF,2016
Alfred N'Diaye,26,Senegal,Defensive Midfield,DM,€1.20m,Real Betis Balompié,Spain,€8.00m,Villarreal CF,2016
Cristian Espinoza,21,Argentina,Right Winger,RW,€3.50m,CA Huracán,Argentina,€7.20m,Villarreal CF,2016
Denis Cheryshev,25,Russia,Left Winger,LW,€1.50m,Real Madrid,Spain,€7.00m,Villarreal CF,2016
Álvaro González,26,Spain,Centre-Back,CB,€2.50m,RCD Espanyol Barcelona,Spain,€4.00m,Villarreal CF,2016
Alexandre Pato,26,Brazil,Centre-Forward,CF,€700k,Sport Club Corinthians Paulista,Brazil,€3.00m,Villarreal CF,2016
Akram Afif,19,Qatar,Left Winger,LW,€4.00m,Al-Sadd SC,Qatar,?,Villarreal CF,2016
Rodri,20,Spain,Defensive Midfield,DM,€80.00m,Villarreal CF B,Spain,-,Villarreal CF,2016
Adrián Marín,19,Spain,Left-Back,LB,€1.50m,Villarreal CF B,Spain,-,Villarreal CF,2016
Alfonso Pedraza,20,Spain,Left-Back,LB,€15.00m,Villarreal CF B,Spain,-,Villarreal CF,2016
Antonio Sanabria,20,Paraguay,Centre-Forward,CF,€7.00m,AS Roma,Italy,€7.50m,Real Betis Balompié,2016
Felipe Gutiérrez,25,Chile,Central Midfield,CM,€500k,Twente Enschede FC,Netherlands,€3.50m,Real Betis Balompié,2016
Aïssa Mandi,24,Algeria,Centre-Back,CB,€4.00m,Stade Reims,France,€2.80m,Real Betis Balompié,2016
Jonas Martin,26,France,Defensive Midfield,DM,€1.80m,Montpellier HSC,France,€2.60m,Real Betis Balompié,2016
Riza Durmisi,22,Denmark,Left-Back,LB,€500k,Bröndby IF,Denmark,€2.00m,Real Betis Balompié,2016
Darko Brasanac,24,Serbia,Central Midfield,CM,€2.00m,FK Partizan Belgrade,Serbia,€1.50m,Real Betis Balompié,2016
Alin Tosca,24,Romania,Centre-Back,CB,€1.40m,Steaua Bucharest,Romania,€1.00m,Real Betis Balompié,2016
Manu Herrera,34,Spain,Goalkeeper,GK,€50k,Real Zaragoza,Spain,free transfer,Real Betis Balompié,2016
Roman Zozulya,26,Ukraine,Centre-Forward,CF,€100k,Dnipro Dnipropetrovsk (-2020),Ukraine,free transfer,Real Betis Balompié,2016
Fabián Ruiz,20,Spain,Central Midfield,CM,€38.00m,Real Betis B,Spain,-,Real Betis Balompié,2016
Rafa Navarro,22,Spain,Right-Back,RB,€150k,Real Betis B,Spain,-,Real Betis Balompié,2016
Álex Alegría,23,Spain,Centre-Forward,CF,€200k,Real Betis B,Spain,-,Real Betis Balompié,2016
Joaquín Correa,21,Argentina,Second Striker,SS,€14.00m,UC Sampdoria,Italy,€18.20m,Sevilla FC,2016
Franco Vázquez,27,Argentina,Attacking Midfield,AM,€2.40m,US Palermo,Italy,€16.80m,Sevilla FC,2016
Wissam Ben Yedder,25,France,Centre-Forward,CF,€20.00m,FC Toulouse,France,€9.50m,Sevilla FC,2016
Ganso,26,Brazil,Attacking Midfield,AM,€700k,São Paulo Futebol Clube,Brazil,€9.50m,Sevilla FC,2016
Hiroshi Kiyotake,26,Japan,Attacking Midfield,AM,€1.20m,Hannover 96,Germany,€6.50m,Sevilla FC,2016
Walter Montoya,23,Argentina,Right Winger,RW,€800k,CA Rosario Central,Argentina,€5.50m,Sevilla FC,2016
Clément Lenglet,21,France,Centre-Back,CB,€12.00m,AS Nancy-Lorraine,France,€5.40m,Sevilla FC,2016
Gabriel Mercado,29,Argentina,Centre-Back,CB,€250k,CA River Plate,Argentina,€2.50m,Sevilla FC,2016
Giorgi Aburjania,21,Georgia,Defensive Midfield,DM,€800k,Gimnàstic de Tarragona,Spain,€1.80m,Sevilla FC,2016
Pablo Sarabia,24,Spain,Right Winger,RW,€16.00m,Getafe CF,Spain,€1.00m,Sevilla FC,2016
Dani Torres,26,Colombia,Defensive Midfield,DM,€300k,Independiente Medellín,Colombia,€3.18m,Deportivo Alavés,2016
Aleksandar Katai,25,Serbia,Left Winger,LW,€5.00m,Red Star Belgrade,Serbia,€2.00m,Deportivo Alavés,2016
Alexis Ruano,30,Spain,Centre-Back,CB,-,Besiktas JK,Turkey,€400k,Deportivo Alavés,2016
Zouhair Feddal,26,Morocco,Centre-Back,CB,€1.50m,Levante UD,Spain,free transfer,Deportivo Alavés,2016
Ibai Gómez,26,Spain,Left Winger,LW,-,Athletic Bilbao,Spain,free transfer,Deportivo Alavés,2016
Nenad Krsticic,26,Serbia,Central Midfield,CM,€400k,UC Sampdoria,Italy,free transfer,Deportivo Alavés,2016
Edgar Méndez,26,Spain,Right Winger,RW,€1.00m,Granada CF,Spain,free transfer,Deportivo Alavés,2016
Christian Santos,28,Venezuela,Centre-Forward,CF,€300k,NEC Nijmegen,Netherlands,free transfer,Deportivo Alavés,2016
Carlos Vigaray,21,Spain,Right-Back,RB,€300k,Getafe CF,Spain,?,Deportivo Alavés,2016
Gabriel Pires,22,Brazil,Central Midfield,CM,€4.50m,Juventus FC,Italy,€2.50m,CD Leganés,2016
Mamadou Koné,24,Cote d'Ivoire,Centre-Forward,CF,€150k,Racing Santander,Spain,€1.20m,CD Leganés,2016
Diego Rico,23,Spain,Left-Back,LB,€3.00m,Real Zaragoza,Spain,€1.00m,CD Leganés,2016
Erik Morán,25,Spain,Defensive Midfield,DM,€400k,Real Zaragoza,Spain,€200k,CD Leganés,2016
Nabil El Zhar,30,Morocco,Right Winger,RW,-,UD Las Palmas,Spain,free transfer,CD Leganés,2016
Carl Medjani,31,Algeria,Defensive Midfield,DM,-,Levante UD,Spain,free transfer,CD Leganés,2016
Unai Bustinza,24,Spain,Centre-Back,CB,€600k,Athletic Bilbao,Spain,free transfer,CD Leganés,2016
Miguel Ángel Guerrero,25,Spain,Second Striker,SS,€450k,Sporting Gijón,Spain,free transfer,CD Leganés,2016
Léo Baptistão,23,Brazil,Second Striker,SS,€1.80m,Atlético de Madrid,Spain,€7.00m,RCD Espanyol Barcelona,2016
David López,26,Spain,Centre-Back,CB,€2.00m,SSC Napoli,Italy,€4.00m,RCD Espanyol Barcelona,2016
Roberto,30,Spain,Goalkeeper,GK,-,Olympiacos Piraeus,Greece,€3.00m,RCD Espanyol Barcelona,2016
Álvaro Vázquez,25,Spain,Centre-Forward,CF,€300k,Getafe CF,Spain,€2.00m,RCD Espanyol Barcelona,2016
José Manuel Jurado,30,Spain,Attacking Midfield,AM,-,Watford FC,England,€1.20m,RCD Espanyol Barcelona,2016
Javi Fuego,32,Spain,Defensive Midfield,DM,-,Valencia CF,Spain,€1.00m,RCD Espanyol Barcelona,2016
Martín Demichelis,35,Argentina,Centre-Back,CB,-,Manchester City,England,free transfer,RCD Espanyol Barcelona,2016
José Antonio Reyes,32,Spain,Right Winger,RW,-,Sevilla FC,Spain,free transfer,RCD Espanyol Barcelona,2016
Marc Roca,19,Spain,Defensive Midfield,DM,€15.00m,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2016
Aarón Martín,19,Spain,Left-Back,LB,€7.00m,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2016
Marc Navarro,21,Spain,Right-Back,RB,€250k,RCD Espanyol B,Spain,-,RCD Espanyol Barcelona,2016
José Angulo,21,Ecuador,Centre-Forward,CF,€700k,Independiente del Valle,Ecuador,€4.03m,Granada CF,2016
Mehdi Carcela-González,27,Morocco,Right Winger,RW,€250k,SL Benfica,Portugal,€4.00m,Granada CF,2016
Sverrir Ingi Ingason,23,Iceland,Centre-Back,CB,€5.00m,KSC Lokeren (- 2020),Belgium,€1.80m,Granada CF,2016
Rui Silva,22,Portugal,Goalkeeper,GK,€15.00m,CD Nacional,Portugal,€1.00m,Granada CF,2016
Omer Atzili,23,Israel,Right Winger,RW,€1.80m,Beitar Jerusalem,Israel,€750k,Granada CF,2016
Matthieu Saunier,26,France,Centre-Back,CB,-,ESTAC Troyes,France,free transfer,Granada CF,2016
Tito,30,Spain,Right-Back,RB,-,Rayo Vallecano,Spain,free transfer,Granada CF,2016
Martin Hongla,18,Cameroon,Defensive Midfield,DM,€3.50m,Granada CF B,Spain,-,Granada CF,2016
Nano Mesa,21,Spain,Centre-Forward,CF,€250k,CD Tenerife,Spain,€3.20m,SD Eibar,2016
Florian Lejeune,25,France,Centre-Back,CB,€4.00m,Manchester City,England,€1.50m,SD Eibar,2016
Alejandro Gálvez,27,Spain,Centre-Back,CB,-,SV Werder Bremen,Germany,€1.50m,SD Eibar,2016
Bebé,26,Cape Verde,Left Winger,LW,€800k,SL Benfica,Portugal,€1.50m,SD Eibar,2016
Anaitz Arbilla,29,Spain,Centre-Back,CB,€400k,RCD Espanyol Barcelona,Spain,€700k,SD Eibar,2016
Rubén Peña,24,Spain,Right-Back,RB,€2.50m,CD Leganés,Spain,€200k,SD Eibar,2016
Jon Ander Felipe,21,Spain,Goalkeeper,GK,€100k,Bilbao Athletic,Spain,free transfer,SD Eibar,2016
Jon Ander Amelibia,22,Spain,Centre-Back,CB,€300k,Bilbao Athletic,Spain,free transfer,SD Eibar,2016
Juanfran,24,Spain,Centre-Forward,CF,-,CF Villanovense,Spain,free transfer,SD Eibar,2016
Pedro León,29,Spain,Right Winger,RW,€800k,Getafe CF,Spain,free transfer,SD Eibar,2016
Roger Escoruela,20,Spain,Left-Back,LB,€200k,CF Gavà,Spain,free transfer,SD Eibar,2016
Jordi Calavera,20,Spain,Right-Back,RB,€500k,Gimnàstic de Tarragona,Spain,free transfer,SD Eibar,2016
Unai Elgezabal,23,Spain,Centre-Back,CB,€600k,Barakaldo CF ,Spain,free transfer,SD Eibar,2016
Pere Milla,23,Spain,Left Winger,LW,€3.00m,UD Logroñés,Spain,free transfer,SD Eibar,2016
Christian Rivera,18,Spain,Central Midfield,CM,€500k,Real Oviedo,Spain,?,SD Eibar,2016
Íñigo Barrenetxea,22,Spain,Central Midfield,CM,€25k,CD Vitoria,Spain,-,SD Eibar,2016
Pione Sisto,21,Denmark,Left Winger,LW,€3.00m,FC Midtjylland,Denmark,€6.00m,Celta de Vigo,2016
Andrew Hjulsager,22,Denmark,Attacking Midfield,AM,€2.00m,Bröndby IF,Denmark,€1.20m,Celta de Vigo,2016
José Naranjo,21,Spain,Left Winger,LW,€700k,Gimnàstic de Tarragona,Spain,€1.00m,Celta de Vigo,2016
Álvaro Lemos,23,Spain,Right-Back,RB,€800k,CD Lugo,Spain,€200k,Celta de Vigo,2016
Facundo Roncaglia,29,Argentina,Centre-Back,CB,€250k,ACF Fiorentina,Italy,free transfer,Celta de Vigo,2016
Pape Cheikh,18,Senegal,Central Midfield,CM,€1.50m,Celta Vigo B,Spain,-,Celta de Vigo,2016
Fernando Amorebieta,31,Venezuela,Centre-Back,CB,-,Fulham FC,England,€300k,Sporting Gijón,2016
Diego Mariño,26,Spain,Goalkeeper,GK,€300k,Levante UD,Spain,€200k,Sporting Gijón,2016
Lillo Castellano,27,Spain,Right-Back,RB,€200k,SD Eibar,Spain,free transfer,Sporting Gijón,2016
Borja Viguera,29,Spain,Centre-Forward,CF,€100k,Athletic Bilbao,Spain,free transfer,Sporting Gijón,2016
Xavi Torres,29,Spain,Defensive Midfield,DM,€100k,Real Betis Balompié,Spain,free transfer,Sporting Gijón,2016
Óscar Whalley,22,Spain,Goalkeeper,GK,€700k,Real Zaragoza,Spain,free transfer,Sporting Gijón,2016
Jean-Sylvain Babin,29,Martinique,Centre-Back,CB,€300k,Granada CF,Spain,free transfer,Sporting Gijón,2016
Moi Gómez,22,Spain,Left Winger,LW,€10.00m,Villarreal CF,Spain,free transfer,Sporting Gijón,2016
Víctor Rodríguez,26,Spain,Attacking Midfield,AM,€225k,Elche CF,Spain,free transfer,Sporting Gijón,2016
Florin Andone,23,Romania,Centre-Forward,CF,€1.00m,Córdoba CF,Spain,€5.70m,Deportivo de La Coruña,2016
Raúl Albentosa,27,Spain,Centre-Back,CB,€200k,Derby County,England,€800k,Deportivo de La Coruña,2016
Przemyslaw Tyton,29,Poland,Goalkeeper,GK,€300k,VfB Stuttgart,Germany,€500k,Deportivo de La Coruña,2016
Emre Çolak,25,Turkey,Attacking Midfield,AM,€100k,Galatasaray,Turkey,free transfer,Deportivo de La Coruña,2016
Fede Cartabia,24,Argentina,Right Winger,RW,€1.50m,Valencia CF,Spain,free transfer,Deportivo de La Coruña,2016
Ryan Babel,29,Netherlands,Left Winger,LW,€200k,Al-Ain FC,United Arab Emirates,free transfer,Deportivo de La Coruña,2016
Rubén Martínez,32,Spain,Goalkeeper,GK,€200k,Levante UD,Spain,free transfer,Deportivo de La Coruña,2016
Fayçal Fajr,27,Morocco,Central Midfield,CM,€1.50m,Elche CF,Spain,free transfer,Deportivo de La Coruña,2016
Borja Valle,23,Spain,Left Winger,LW,€300k,Real Oviedo,Spain,free transfer,Deportivo de La Coruña,2016
Bruno Gama,28,Portugal,Left Winger,LW,€250k,Dnipro Dnipropetrovsk (-2020),Ukraine,free transfer,Deportivo de La Coruña,2016
Rober Pier,21,Spain,Centre-Back,CB,€1.20m,RC Deportivo B,Spain,-,Deportivo de La Coruña,2016
Gerónimo Rulli,24,Argentina,Goalkeeper,GK,€10.00m,Manchester City,England,€7.00m,Real Sociedad,2016
Willian José,24,Brazil,Centre-Forward,CF,€7.00m,Club Deportivo Maldonado,Uruguay,€6.00m,Real Sociedad,2016
Juanmi,23,Spain,Left Winger,LW,€15.00m,Southampton FC,England,€5.00m,Real Sociedad,2016
Toño,29,Spain,Goalkeeper,GK,€100k,AEK Larnaca,Cyprus,free transfer,Real Sociedad,2016
Ander Bardají,21,Spain,Goalkeeper,GK,€50k,Real Sociedad B,Spain,-,Real Sociedad,2016
Álvaro Odriozola,21,Spain,Right-Back,RB,€5.00m,Real Sociedad B,Spain,-,Real Sociedad,2016
Jon Bautista,21,Spain,Centre-Forward,CF,€1.00m,Real Sociedad B,Spain,-,Real Sociedad,2016
Keko Gontán,24,Spain,Attack,Attack,€200k,SD Eibar,Spain,€5.00m,Málaga CF,2016
Michael Santos,23,Uruguay,Centre-Forward,CF,€1.20m,CA River Plate Montevideo,Uruguay,€4.00m,Málaga CF,2016
Luis Hernández,27,Spain,Centre-Back,CB,€1.00m,Leicester City,England,€2.00m,Málaga CF,2016
Bakary Koné,28,Burkina Faso,Centre-Back,CB,-,Olympique Lyon,France,€800k,Málaga CF,2016
Mikel Villanueva,23,Venezuela,Centre-Back,CB,€1.50m,Deportivo Lara,Venezuela,€300k,Málaga CF,2016
Miguel Cifuentes,25,Spain,Right Winger,RW,€400k,Elche CF,Spain,free transfer,Málaga CF,2016
Jony,24,Spain,Left Winger,LW,€600k,Sporting Gijón,Spain,free transfer,Málaga CF,2016
Sandro Ramírez,20,Spain,Centre-Forward,CF,€2.00m,FC Barcelona,Spain,free transfer,Málaga CF,2016
Martín Demichelis,36,Argentina,Centre-Back,CB,-,RCD Espanyol Barcelona,Spain,free transfer,Málaga CF,2016
Youssef En-Nesyri,19,Morocco,Centre-Forward,CF,€15.00m,Atlético Malagueño,Spain,-,Málaga CF,2016
Javi Ontiveros,18,Spain,Left Winger,LW,€600k,Atlético Malagueño,Spain,-,Málaga CF,2016
Ezequiel Garay,29,Argentina,Centre-Back,CB,-,Zenit St. Petersburg,Russia,€24.00m,Valencia CF,2016
Nani,29,Portugal,Left Winger,LW,€500k,Fenerbahce,Turkey,€8.50m,Valencia CF,2016
Álvaro Medrán,22,Spain,Central Midfield,CM,€3.80m,Real Madrid,Spain,€1.50m,Valencia CF,2016
Martín Montoya,25,Spain,Right-Back,RB,€1.50m,FC Barcelona,Spain,free transfer,Valencia CF,2016
Carlos Soler,19,Spain,Central Midfield,CM,€30.00m,Valencia Mestalla,Spain,-,Valencia CF,2016
Mauricio Lemos,20,Uruguay,Centre-Back,CB,€500k,Rubin Kazan,Russia,€2.00m,UD Las Palmas,2016
Mateo García,19,Argentina,Right Winger,RW,€1.80m,Instituto AC Córdoba,Argentina,€400k,UD Las Palmas,2016
Kevin-Prince Boateng,29,Ghana,Attacking Midfield,AM,€700k,AC Milan,Italy,free transfer,UD Las Palmas,2016
Hélder Lopes,27,Portugal,Left-Back,LB,€300k,FC Paços de Ferreira,Portugal,free transfer,UD Las Palmas,2016
Michel Macedo,26,Brazil,Right-Back,RB,€800k,UD Almería,Spain,free transfer,UD Las Palmas,2016
Marko Livaja,22,Croatia,Centre-Forward,CF,€8.00m,Rubin Kazan,Russia,free transfer,UD Las Palmas,2016
Sergio León,27,Spain,Centre-Forward,CF,€2.00m,Elche CF,Spain,€1.70m,CA Osasuna,2016
Fran Mérida,26,Spain,Central Midfield,CM,€800k,SD Huesca,Spain,€500k,CA Osasuna,2016
Carlos Clerc,24,Spain,Left-Back,LB,€1.80m,RCD Espanyol Barcelona,Spain,free transfer,CA Osasuna,2016
Nikola Vujadinovic,30,Montenegro,Centre-Back,CB,€100k,Beijing Enterprises,China,free transfer,CA Osasuna,2016
Raoul Loé,27,Cameroon,Defensive Midfield,DM,€150k,Al-Sailiya SC,Qatar,free transfer,CA Osasuna,2016
Javi Álamo,28,Spain,Right Winger,RW,€50k,Real Zaragoza,Spain,free transfer,CA Osasuna,2016
Juan Rafael Fuentes,26,Spain,Left-Back,LB,-,RCD Espanyol Barcelona,Spain,free transfer,CA Osasuna,2016
Jaime Romero,25,Spain,Right Winger,RW,€400k,Udinese Calcio,Italy,free transfer,CA Osasuna,2016
Goran Causic,24,Serbia,Central Midfield,CM,€1.00m,Eskisehirspor,Turkey,free transfer,CA Osasuna,2016
Fausto Tienza,26,Spain,Central Midfield,CM,€300k,AD Alcorcón,Spain,free transfer,CA Osasuna,2016
Theo Hernández,19,France,Left-Back,LB,€60.00m,Atlético de Madrid,Spain,€24.00m,Real Madrid,2017
Dani Ceballos,20,Spain,Central Midfield,CM,€12.00m,Real Betis Balompié,Spain,€16.50m,Real Madrid,2017
Achraf Hakimi,18,Morocco,Right-Back,RB,€70.00m,Real Madrid Castilla,Spain,-,Real Madrid,2017
Philipp Lienhart,20,Austria,Centre-Back,CB,€20.00m,Real Madrid Castilla,Spain,-,Real Madrid,2017
Ousmane Dembélé,20,France,Right Winger,RW,€60.00m,Borussia Dortmund,Germany,€140.00m,FC Barcelona,2017
Philippe Coutinho,25,Brazil,Left Winger,LW,€14.00m,Liverpool FC,England,€135.00m,FC Barcelona,2017
Paulinho,29,Brazil,Central Midfield,CM,€1.20m,Guangzhou Evergrande Taobao,China,€40.00m,FC Barcelona,2017
Nélson Semedo,23,Portugal,Right-Back,RB,€15.00m,SL Benfica,Portugal,€35.70m,FC Barcelona,2017
Yerry Mina,23,Colombia,Centre-Back,CB,€12.00m,Sociedade Esportiva Palmeiras,Brazil,€12.40m,FC Barcelona,2017
Gerard Deulofeu,23,Spain,Centre-Forward,CF,€13.00m,Everton FC,England,€12.00m,FC Barcelona,2017
Marlon,21,Brazil,Centre-Back,CB,€7.50m,Fluminense Football Club,Brazil,€5.00m,FC Barcelona,2017
Diego Costa,29,Spain,Centre-Forward,CF,€3.50m,Chelsea FC,England,€60.00m,Atlético de Madrid,2017
Vitolo,27,Spain,Left Winger,LW,€1.00m,Sevilla FC,Spain,€35.60m,Atlético de Madrid,2017
Luis Muriel,26,Colombia,Centre-Forward,CF,€8.00m,UC Sampdoria,Italy,€24.50m,Sevilla FC,2017
Simon Kjaer,28,Denmark,Centre-Back,CB,€5.00m,Fenerbahce,Turkey,€12.50m,Sevilla FC,2017
Guilherme Arana,20,Brazil,Left-Back,LB,€12.00m,Sport Club Corinthians Paulista,Brazil,€11.00m,Sevilla FC,2017
Guido Pizarro,27,Argentina,Defensive Midfield,DM,€2.00m,Tigres UANL,Mexico,€8.70m,Sevilla FC,2017
Éver Banega,29,Argentina,Central Midfield,CM,€2.00m,Inter Milan,Italy,€7.00m,Sevilla FC,2017
Nolito,30,Spain,Left Winger,LW,€400k,Manchester City,England,€7.00m,Sevilla FC,2017
Sébastien Corchia,26,France,Right-Back,RB,€1.20m,LOSC Lille,France,€5.00m,Sevilla FC,2017
Jesús Navas,31,Spain,Right-Back,RB,€3.00m,Manchester City,England,free transfer,Sevilla FC,2017
Borja Lasso,23,Spain,Attacking Midfield,AM,-,Sevilla Atlético,Spain,-,Sevilla FC,2017
Enes Ünal,20,Turkey,Centre-Forward,CF,€25.00m,Manchester City,England,€14.00m,Villarreal CF,2017
Rúben Semedo,23,Portugal,Centre-Back,CB,€3.50m,Sporting CP,Portugal,€14.00m,Villarreal CF,2017
Pablo Fornals,21,Spain,Attacking Midfield,AM,€25.00m,Málaga CF,Spain,€12.00m,Villarreal CF,2017
